index,Entity,status2,Function,Term,Year,EY Year,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
0,CS,,oGTa,15.16,2015,CS - 2015,,,,,,,,,,,,7.0,7.0
1,CS,,oGTa,15.16,2015,CS - 2015,,,,,,,,,,,,5.0,5.0
2,CS,,oGTa,15.16,2015,CS - 2015,,,,,,,,,,,,1.0,1.0
3,CS,,oGTa,15.16,2015,CS - 2015,,,,,,,,,,,,1.0,1.0
4,CS,,oGTa,15.16,2015,CS - 2015,,,,,,,,,,,,0.0,0.0
5,CS,,oGTa,15.16,2015,CS - 2015,,,,,,,,,,,,0.0,0.0
6,CS,,oGTa,15.16,2015,CS - 2015,,,,,,,,,,,,0.0,0.0
7,CS,,oGTa,16.17,2016,CS - 2016,2.0,8.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,6.0,8.0,6.0,44.0
8,CS,,oGTa,16.17,2016,CS - 2016,1.0,3.0,2.0,3.0,0.0,0.0,3.0,2.0,3.0,5.0,3.0,1.0,26.0
9,CS,,oGTa,16.17,2016,CS - 2016,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
10,CS,,oGTa,16.17,2016,CS - 2016,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
11,CS,,oGTa,16.17,2016,CS - 2016,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
12,CS,,oGTa,16.17,2016,CS - 2016,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0
13,CS,,oGTa,16.17,2016,CS - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,CS,,oGTa,17.18,2017,CS - 2017,22.0,36.0,13.0,10.0,17.0,5.0,3.0,5.0,3.0,10.0,8.0,6.0,138.0
15,CS,,oGTa,17.18,2017,CS - 2017,3.0,15.0,11.0,2.0,4.0,2.0,7.0,2.0,3.0,1.0,0.0,5.0,55.0
16,CS,,oGTa,17.18,2017,CS - 2017,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
17,CS,,oGTa,17.18,2017,CS - 2017,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
18,CS,,oGTa,17.18,2017,CS - 2017,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
19,CS,,oGTa,17.18,2017,CS - 2017,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
20,CS,,oGTa,17.18,2017,CS - 2017,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
21,CS,,oGTa,18.19,2018,CS - 2018,9.0,24.0,4.0,4.0,10.0,5.0,6.0,23.0,4.0,7.0,4.0,5.0,105.0
22,CS,,oGTa,18.19,2018,CS - 2018,11.0,10.0,4.0,7.0,10.0,4.0,1.0,4.0,4.0,4.0,5.0,4.0,68.0
23,CS,,oGTa,18.19,2018,CS - 2018,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0
24,CS,,oGTa,18.19,2018,CS - 2018,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
25,CS,,oGTa,18.19,2018,CS - 2018,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
26,CS,,oGTa,18.19,2018,CS - 2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
27,CS,,oGTa,18.19,2018,CS - 2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
28,CS,,oGTa,19.20,2019,CS - 2019,8.0,10.0,11.0,6.0,6.0,8.0,5.0,9.0,7.0,10.0,8.0,,88.0
29,CS,,oGTa,19.20,2019,CS - 2019,10.0,24.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,7.0,,73.0
30,CS,,oGTa,19.20,2019,CS - 2019,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,8.0
31,CS,,oGTa,19.20,2019,CS - 2019,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,8.0
32,CS,,oGTa,19.20,2019,CS - 2019,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,5.0
33,CS,,oGTa,19.20,2019,CS - 2019,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,,6.0
34,CS,,oGTa,19.20,2019,CS - 2019,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,,5.0
35,CS,,oGTa,21.22,2021,CS - 2021,,,,,,,,,,,,7.0,7.0
36,CS,,oGTa,21.22,2021,CS - 2021,,,,,,,,,,,,1.0,1.0
37,CS,,oGTa,21.22,2021,CS - 2021,,,,,,,,,,,,0.0,0.0
38,CS,,oGTa,21.22,2021,CS - 2021,,,,,,,,,,,,0.0,0.0
39,CS,,oGTa,21.22,2021,CS - 2021,,,,,,,,,,,,0.0,0.0
40,CS,,oGTa,21.22,2021,CS - 2021,,,,,,,,,,,,0.0,0.0
41,CS,,oGTa,21.22,2021,CS - 2021,,,,,,,,,,,,0.0,0.0
42,CS,,oGTa,22.23,2022,CS - 2022,11.0,7.0,12.0,14.0,8.0,18.0,8.0,3.0,4.0,16.0,5.0,1.0,107.0
43,CS,,oGTa,22.23,2022,CS - 2022,1.0,6.0,0.0,4.0,5.0,5.0,7.0,3.0,5.0,3.0,13.0,9.0,61.0
44,CS,,oGTa,22.23,2022,CS - 2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45,CS,,oGTa,22.23,2022,CS - 2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,CS,,oGTa,22.23,2022,CS - 2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
47,CS,,oGTa,22.23,2022,CS - 2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,CS,,oGTa,22.23,2022,CS - 2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,CS,,oGTa,23.24,2023,CS - 2023,3.0,3.0,1.0,5.0,5.0,3.0,1.0,1.0,7.0,1.0,5.0,4.0,39.0
50,CS,,oGTa,23.24,2023,CS - 2023,6.0,18.0,6.0,10.0,11.0,3.0,3.0,4.0,3.0,2.0,7.0,3.0,76.0
51,CS,,oGTa,23.24,2023,CS - 2023,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
52,CS,,oGTa,23.24,2023,CS - 2023,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
53,CS,,oGTa,23.24,2023,CS - 2023,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
54,CS,,oGTa,23.24,2023,CS - 2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
55,CS,,oGTa,23.24,2023,CS - 2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
56,CS,,oGTa,24.25,2024,CS - 2024,3.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.0
57,CS,,oGTa,24.25,2024,CS - 2024,3.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,21.0
58,CS,,oGTa,24.25,2024,CS - 2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
59,CS,,oGTa,24.25,2024,CS - 2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
60,CS,,oGTa,24.25,2024,CS - 2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
61,CS,,oGTa,24.25,2024,CS - 2024,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
62,CS,,oGTa,24.25,2024,CS - 2024,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
63,CS,,iGTa,15.16,2015,CS - 2015,,,,,,,,,,,,3.0,3.0
64,CS,,iGTa,15.16,2015,CS - 2015,,,,,,,,,,,,74.0,74.0
65,CS,,iGTa,15.16,2015,CS - 2015,,,,,,,,,,,,1.0,1.0
66,CS,,iGTa,15.16,2015,CS - 2015,,,,,,,,,,,,1.0,1.0
67,CS,,iGTa,15.16,2015,CS - 2015,,,,,,,,,,,,0.0,0.0
68,CS,,iGTa,15.16,2015,CS - 2015,,,,,,,,,,,,6.0,6.0
69,CS,,iGTa,15.16,2015,CS - 2015,,,,,,,,,,,,0.0,0.0
70,CS,,iGTa,16.17,2016,CS - 2016,0.0,4.0,1.0,2.0,4.0,2.0,0.0,3.0,4.0,10.0,8.0,2.0,40.0
71,CS,,iGTa,16.17,2016,CS - 2016,73.0,113.0,56.0,44.0,21.0,42.0,3.0,57.0,66.0,195.0,138.0,61.0,869.0
72,CS,,iGTa,16.17,2016,CS - 2016,3.0,2.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,6.0,2.0,3.0,28.0
73,CS,,iGTa,16.17,2016,CS - 2016,2.0,1.0,3.0,3.0,2.0,0.0,1.0,2.0,1.0,6.0,0.0,4.0,25.0
74,CS,,iGTa,16.17,2016,CS - 2016,0.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0,2.0,0.0,2.0,6.0,20.0
75,CS,,iGTa,16.17,2016,CS - 2016,3.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,3.0,0.0,3.0,17.0
76,CS,,iGTa,16.17,2016,CS - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,CS,,iGTa,17.18,2017,CS - 2017,12.0,3.0,12.0,4.0,3.0,3.0,8.0,2.0,0.0,4.0,2.0,6.0,59.0
78,CS,,iGTa,17.18,2017,CS - 2017,86.0,98.0,102.0,98.0,162.0,149.0,185.0,82.0,47.0,39.0,38.0,71.0,1157.0
79,CS,,iGTa,17.18,2017,CS - 2017,2.0,6.0,4.0,3.0,1.0,2.0,3.0,5.0,0.0,1.0,1.0,3.0,31.0
80,CS,,iGTa,17.18,2017,CS - 2017,2.0,7.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,0.0,2.0,2.0,27.0
81,CS,,iGTa,17.18,2017,CS - 2017,3.0,4.0,2.0,3.0,4.0,0.0,4.0,0.0,1.0,0.0,2.0,1.0,24.0
82,CS,,iGTa,17.18,2017,CS - 2017,1.0,2.0,3.0,1.0,0.0,1.0,9.0,3.0,2.0,1.0,2.0,4.0,29.0
83,CS,,iGTa,17.18,2017,CS - 2017,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,6.0
84,CS,,iGTa,18.19,2018,CS - 2018,2.0,3.0,3.0,1.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,24.0
85,CS,,iGTa,18.19,2018,CS - 2018,36.0,65.0,45.0,68.0,70.0,75.0,93.0,32.0,129.0,74.0,36.0,10.0,733.0
86,CS,,iGTa,18.19,2018,CS - 2018,2.0,0.0,2.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,1.0,0.0,16.0
87,CS,,iGTa,18.19,2018,CS - 2018,0.0,3.0,1.0,1.0,0.0,4.0,5.0,1.0,1.0,0.0,1.0,0.0,17.0
88,CS,,iGTa,18.19,2018,CS - 2018,1.0,3.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,15.0
89,CS,,iGTa,18.19,2018,CS - 2018,1.0,1.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,13.0
90,CS,,iGTa,18.19,2018,CS - 2018,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
91,CS,,iGTa,19.20,2019,CS - 2019,1.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,,11.0
92,CS,,iGTa,19.20,2019,CS - 2019,99.0,90.0,6.0,36.0,49.0,148.0,140.0,104.0,127.0,51.0,23.0,,873.0
93,CS,,iGTa,19.20,2019,CS - 2019,5.0,3.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,1.0,1.0,,19.0
94,CS,,iGTa,19.20,2019,CS - 2019,4.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,1.0,2.0,,15.0
95,CS,,iGTa,19.20,2019,CS - 2019,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,,14.0
96,CS,,iGTa,19.20,2019,CS - 2019,2.0,3.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,,15.0
97,CS,,iGTa,19.20,2019,CS - 2019,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,3.0
98,CS,,iGTa,21.22,2021,CS - 2021,,,,,,,,,,,,1.0,1.0
99,CS,,iGTa,21.22,2021,CS - 2021,,,,,,,,,,,,4.0,4.0
100,CS,,iGTa,21.22,2021,CS - 2021,,,,,,,,,,,,0.0,0.0
101,CS,,iGTa,21.22,2021,CS - 2021,,,,,,,,,,,,0.0,0.0
102,CS,,iGTa,21.22,2021,CS - 2021,,,,,,,,,,,,0.0,0.0
103,CS,,iGTa,21.22,2021,CS - 2021,,,,,,,,,,,,0.0,0.0
104,CS,,iGTa,21.22,2021,CS - 2021,,,,,,,,,,,,0.0,0.0
105,CS,,iGTa,22.23,2022,CS - 2022,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,7.0
106,CS,,iGTa,22.23,2022,CS - 2022,5.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,11.0,76.0
107,CS,,iGTa,22.23,2022,CS - 2022,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
108,CS,,iGTa,22.23,2022,CS - 2022,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
109,CS,,iGTa,22.23,2022,CS - 2022,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
110,CS,,iGTa,22.23,2022,CS - 2022,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0
111,CS,,iGTa,22.23,2022,CS - 2022,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0
112,CS,,iGTa,23.24,2023,CS - 2023,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0
113,CS,,iGTa,23.24,2023,CS - 2023,1.0,9.0,11.0,13.0,3.0,2.0,10.0,22.0,18.0,9.0,7.0,10.0,115.0
